,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-86.0267,-74.38345,-82.56645,-99.11591,-84.10895,-81.98528,-79.62064,-78.47018,0.1274118423461914,0.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,0.0,0.5,0.0
1,-80.63293,-71.54895,-79.68545,-85.13184,-85.7669,-80.88878,-80.06282,-86.88444,0.25507020950317383,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,0.0,0.5322896281800391,0.03228962818003914
2,-89.83588,-78.36613,-90.48038,-96.40411,-99.41331,-84.77599,-94.23286,-83.02972,0.38624119758605957,0.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,0.0,0.5645792563600782,0.06457925636007827
3,-87.99788,-80.27484,-86.0058,-105.93885,-91.5725,-81.25719,-99.73605,-77.75446,0.5143213272094727,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,0.0,0.5968688845401174,0.09686888454011741
4,-77.2496,-89.34479,-88.98035,-92.60613,-89.55272,-83.71969,-89.25275,-80.72328,0.6440553665161133,0.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,0.0,0.6291585127201565,0.12915851272015655
5,-83.13245,-73.4528,-84.28929,-93.94526,-92.90018,-82.257,-89.1948,-77.88904,0.7727181911468506,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,0.0,0.6614481409001957,0.16144814090019569
6,-79.66968,-76.90109,-90.71864,-91.31203,-91.86781,-85.9684,-86.4914,-80.02052,0.903820276260376,0.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,0.0,0.6937377690802349,0.19373776908023482
7,-77.93721,-82.44225,-94.70226,-96.27434,-91.59007,-79.4765,-82.73318,-77.94055,1.0322818756103516,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,0.0,0.726027397260274,0.22602739726027396
8,-76.29626,-75.5079,-95.23518,-94.61166,-93.88693,-86.79165,-88.30995,-81.47814,1.1642882823944092,0.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,0.0,0.7583170254403131,0.2583170254403131
9,-81.4575,-73.8446,-86.66738,-91.20901,-91.53293,-83.34293,-83.32539,-80.41843,1.2953765392303467,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,0.0,0.7906066536203522,0.2906066536203522
