Unnamed: 0,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-80.63293,-71.54895,-79.68545,-85.13184,-84.10895,-80.88878,-79.62064,-78.47018,0.25507021,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,0.532289628,0.032289628
1,-87.99788,-78.36613,-86.0058,-96.40411,-91.5725,-81.25719,-94.23286,-77.75446,0.514321327,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,0.596868885,0.096868885
2,-77.2496,-73.4528,-84.28929,-92.60613,-89.55272,-82.257,-89.1948,-77.88904,0.772718191,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,0.661448141,0.161448141
3,-77.93721,-76.90109,-90.71864,-91.31203,-91.59007,-79.4765,-82.73318,-77.94055,1.032281876,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,0.726027397,0.226027397
4,-76.29626,-73.8446,-86.66738,-91.20901,-91.53293,-83.34293,-83.32539,-80.41843,1.295376539,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,0.790606654,0.290606654
5,-79.13013,-71.4964,-83.52308,-79.71463,-84.79852,-76.65076,-83.31074,-74.66563,1.553966045,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,0.85518591,0.35518591
6,-72.45281,-78.96231,-90.01946,-78.76182,-89.01517,-81.68023,-79.02836,-83.09613,1.813174963,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,0.919765166,0.419765166
7,-75.94322,-76.20625,-94.45908,-79.33804,-84.77575,-81.53818,-80.3122,-81.616,2.071053505,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,0.984344423,0.484344423
8,-73.19122,-69.48973,-77.5457,-79.56641,-83.98692,-79.96146,-76.44131,-77.84239,2.330515862,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,1.048923679,0.548923679
9,-75.59453,-80.24677,-87.77914,-84.51194,-88.57991,-80.16662,-91.57362,-81.89447,2.590300798,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,1.113502935,0.613502935
10,-76.98676,-76.98688,-87.38043,-85.82901,-88.41766,-82.25577,-84.97555,-78.39753,2.849312544,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,1.178082192,0.678082192
11,-78.84666,-68.52991,-73.79427,-74.4724,-87.97669,-79.10193,-75.81161,-77.52819,3.10943532,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,1.242661448,0.742661448
12,-80.82592,-71.3936,-79.88305,-79.09842,-89.1394,-81.66171,-80.24007,-78.0323,3.36663413,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,1.307240705,0.807240705
13,-80.32571,-77.10068,-81.9072,-82.18246,-87.80582,-80.76412,-82.86155,-78.87248,3.623076439,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,1.371819961,0.871819961
14,-75.19437,-68.1651,-74.78425,-74.44711,-84.10679,-80.06321,-84.28845,-81.35725,3.879729271,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,1.436399217,0.936399217
15,-82.12177,-80.68448,-81.77095,-79.36327,-83.39441,-81.29743,-86.37077,-77.02721,4.138608456,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,1.500978474,1.000978474
16,-80.87323,-78.0451,-77.24483,-72.51557,-84.3168,-85.88253,-87.90686,-80.88659,4.393777847,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,1.56555773,1.06555773
17,-71.7682,-67.18669,-72.98221,-69.53627,-79.88007,-77.88548,-74.18153,-73.52733,4.647571802,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,1.630136986,1.130136986
18,-74.05089,-72.57011,-76.69739,-73.94621,-86.6485,-87.35791,-77.39929,-80.39502,4.901401281,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,1.694716243,1.194716243
19,-77.68073,-70.66336,-75.33913,-74.8289,-87.67799,-77.7825,-77.54738,-78.12514,5.156392336,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,1.759295499,1.259295499
