,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-74.45902,-77.10124,-87.40271,-91.4558,-97.18635,-88.6824,-70.46046,-58.06721,0.2577378749847412,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,0.5336048879837068,0.03360488798370672
1,-81.53304,-77.80301,-91.73234,-91.2961,-83.59131,-82.44293,-66.72536,-57.16367,0.518202543258667,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,0.6008146639511202,0.10081466395112015
2,-76.88578,-72.56712,-78.24694,-82.8042,-85.87405,-85.14157,-64.21281,-53.2805,0.7761096954345703,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,0.6680244399185336,0.1680244399185336
3,-79.44954,-77.28093,-82.61015,-89.76417,-87.87233,-85.96065,-79.23489,-69.50297,1.03523588180542,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,0.7352342158859471,0.23523421588594703
4,-75.50706,-70.7471,-78.40608,-81.00475,-88.72607,-83.1086,-61.43526,-51.41762,1.2899467945098877,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,0.8024439918533605,0.30244399185336046
5,-74.51045,-75.40698,-82.93991,-85.18355,-93.33527,-81.59151,-59.23506,-52.23675,1.5474228858947754,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,0.8696537678207739,0.3696537678207739
6,-79.09607,-71.77371,-92.84915,-88.08713,-92.38356,-93.71977,-65.01939,-59.16882,1.806215763092041,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,0.9368635437881874,0.43686354378818737
7,-87.54394,-72.64532,-83.52656,-87.57867,-88.63353,-79.06728,-60.31884,-55.78717,2.0645911693573,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.0040733197556007,0.5040733197556008
8,-81.00397,-79.98334,-86.81345,-90.92699,-89.23363,-84.1489,-63.05777,-58.08493,2.3273401260375977,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.0712830957230142,0.5712830957230143
9,-76.84988,-68.11993,-88.1976,-86.76409,-93.22395,-82.52321,-54.17755,-50.82228,2.5850937366485596,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.1384928716904277,0.6384928716904277
10,-76.94129,-69.9281,-80.65469,-81.108,-84.90542,-92.40205,-56.61669,-54.44893,2.8469009399414062,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.2057026476578412,0.7057026476578411
11,-80.52348,-67.78663,-83.92243,-82.01359,-84.84565,-81.74101,-58.06961,-56.35319,3.1064250469207764,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.2729124236252547,0.7729124236252546
12,-70.39111,-69.24602,-86.46817,-83.89057,-89.87943,-83.15015,-59.08888,-56.9126,3.3661155700683594,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.340122199592668,0.840122199592668
13,-71.75986,-65.07054,-79.74693,-82.08289,-92.94914,-88.96226,-55.83297,-55.76509,3.6206164360046387,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.4073319755600815,0.9073319755600815
14,-77.95918,-67.06673,-79.06892,-76.73837,-90.8127,-83.41425,-60.60338,-60.42345,3.8796679973602295,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.4745417515274948,0.9745417515274949
15,-72.61389,-71.04042,-85.62603,-86.6311,-85.25049,-82.66075,-62.17841,-60.38918,4.138831377029419,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.5417515274949083,1.0417515274949083
16,-73.55912,-64.91656,-81.30728,-79.8703,-83.54101,-81.10841,-56.94938,-53.48998,4.40011739730835,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.6089613034623218,1.1089613034623218
17,-69.59205,-69.04301,-73.38898,-77.07608,-92.73553,-82.7854,-59.0045,-52.53674,4.660056114196777,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.6761710794297353,1.1761710794297353
18,-74.9994,-68.38478,-79.27248,-84.17609,-96.28755,-82.11596,-58.37666,-55.55318,4.917392730712891,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.7433808553971486,1.2433808553971486
19,-68.63869,-66.9142,-75.74146,-81.56615,-81.96575,-88.49973,-53.13578,-51.586,5.176929950714111,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.810590631364562,1.310590631364562
20,-76.21983,-68.91646,-79.82575,-83.16689,-88.055,-88.20895,-62.42247,-59.44826,5.438327789306641,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.8778004073319756,1.3778004073319756
21,-76.53746,-62.68943,-79.62064,-79.05468,-84.92599,-82.49837,-55.84919,-52.38388,5.698293685913086,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,1.945010183299389,1.445010183299389
22,-73.26659,-63.00623,-83.63268,-85.12283,-84.23585,-85.29103,-51.6613,-52.68739,5.952504873275757,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.0122199592668024,1.5122199592668024
23,-70.5733,-62.21894,-80.34841,-81.17908,-85.32631,-80.46687,-56.76998,-55.16219,6.213534116744995,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.079429735234216,1.579429735234216
24,-70.76143,-60.98435,-75.1286,-76.97857,-85.00604,-79.11989,-51.42933,-51.99542,6.473100900650024,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.146639511201629,1.6466395112016292
25,-74.2403,-60.68196,-76.93742,-82.77893,-91.53063,-84.83547,-56.10054,-53.86323,6.732915878295898,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.213849287169043,1.7138492871690427
26,-72.06852,-67.79279,-80.97681,-81.48649,-81.46179,-84.28395,-64.45666,-61.01671,6.9905970096588135,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.281059063136456,1.7810590631364562
27,-75.03952,-71.87958,-82.02003,-86.95351,-88.6684,-82.36815,-64.46859,-63.88168,7.247788190841675,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.3482688391038695,1.8482688391038695
28,-83.56409,-79.23183,-99.75323,-95.19292,-86.52946,-85.46103,-78.26266,-73.14246,7.506669282913208,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.415478615071283,1.915478615071283
29,-80.47601,-72.39668,-79.24262,-79.61202,-83.88969,-84.61888,-62.21407,-61.35059,7.766984462738037,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.4826883910386965,1.9826883910386965
30,-83.3326,-69.45042,-80.30624,-82.52922,-92.03323,-81.55109,-61.41446,-61.12108,8.027782917022705,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.54989816700611,2.04989816700611
31,-74.30647,-73.51482,-78.63504,-78.99831,-81.87901,-83.51067,-56.33215,-55.65258,8.28823733329773,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.6171079429735236,2.1171079429735236
32,-78.65493,-64.86748,-74.14876,-76.2473,-80.66109,-81.79832,-61.34238,-60.9628,8.54624605178833,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.6843177189409366,2.1843177189409366
33,-72.07979,-66.46412,-79.25315,-78.26724,-84.17793,-81.29786,-59.19584,-61.71282,8.804530382156372,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.75152749490835,2.25152749490835
34,-69.63008,-64.02383,-77.83254,-78.22782,-90.84982,-85.70697,-65.24843,-61.54276,9.065388679504395,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.8187372708757636,2.3187372708757636
35,-69.94006,-61.46069,-76.7719,-75.41861,-85.31213,-80.54727,-61.27989,-60.1926,9.323103666305542,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.885947046843177,2.385947046843177
36,-76.62753,-79.32971,-95.74954,-99.89552,-97.48845,-82.84326,-81.14148,-78.3626,9.58037519454956,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,2.9531568228105907,2.4531568228105907
37,-75.40371,-72.88989,-83.41142,-83.21293,-86.12332,-85.59639,-70.26657,-71.90118,9.841258764266968,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,3.020366598778004,2.520366598778004
38,-73.40478,-66.47995,-78.39738,-80.28568,-86.93692,-76.56328,-64.76151,-62.80242,10.101061582565308,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,3.0875763747454172,2.5875763747454172
39,-72.60275,-62.72113,-78.88296,-80.4369,-90.20277,-82.04151,-65.90892,-60.54859,10.360376596450806,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,3.1547861507128308,2.6547861507128308
40,-71.25388,-60.96601,-75.98891,-77.02464,-81.56579,-80.57099,-60.69736,-60.3588,10.618131637573242,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,3.2219959266802443,2.7219959266802443
41,-73.59383,-63.90447,-78.79403,-78.2442,-81.88889,-78.49376,-61.55555,-61.87206,10.874003171920776,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,3.2892057026476578,2.7892057026476578
42,-72.44268,-66.37723,-82.34527,-79.84074,-83.27145,-87.58012,-68.4713,-62.88616,11.13439416885376,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,3.3564154786150713,2.8564154786150713
43,-72.18346,-65.17357,-77.83356,-76.1876,-77.46261,-81.72561,-65.36377,-63.96914,11.393033742904663,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,3.423625254582485,2.923625254582485
44,-78.66313,-65.18965,-73.47703,-77.25384,-81.31115,-81.1647,-62.93518,-61.56834,11.651270866394043,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,3.4908350305498983,2.9908350305498983
45,-73.71012,-68.47224,-83.34247,-85.0691,-86.23265,-83.48463,-68.71609,-66.6213,11.909406900405884,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,3.5580448065173114,3.0580448065173114
46,-71.54918,-67.47183,-84.59626,-82.85994,-86.29419,-79.91074,-75.56606,-68.97652,12.166701555252075,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,3.625254582484725,3.125254582484725
47,-71.33672,-62.14003,-76.63078,-78.21227,-94.02119,-79.8689,-64.95866,-64.80069,12.425811767578125,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,3.6924643584521384,3.1924643584521384
48,-70.39053,-64.83572,-74.86531,-79.98026,-81.23303,-80.24169,-67.26055,-64.09603,12.684309482574463,1.0,0.4,915.5,8.5,13.0,0.0,8.0,6.5,17.5,12.5,8.8,6.3,0.0,6.0,3.759674134419552,3.259674134419552
