,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-78.6396,-78.50211,-76.6563,-84.81971,-84.11736,-75.06837,-79.97554,-83.11425,0.13099908828735352,0.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,6.0,0.5,0.0
1,-72.04884,-68.06773,-74.87701,-81.90996,-75.0043,-73.01118,-78.37555,-78.98298,0.25669169425964355,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,6.0,0.5310734463276836,0.031073446327683617
2,-79.09007,-75.59651,-82.71104,-90.20301,-84.93542,-77.33318,-83.02937,-81.00432,0.38375329971313477,0.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,6.0,0.5621468926553672,0.062146892655367235
3,-77.16875,-67.62619,-75.66866,-76.90536,-82.16373,-73.07157,-78.9438,-98.33208,0.5114507675170898,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,6.0,0.5932203389830508,0.09322033898305085
4,-75.79243,-76.73085,-88.01088,-94.65137,-77.10323,-82.40702,-86.57385,-89.84455,0.6399552822113037,0.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,6.0,0.6242937853107344,0.12429378531073447
5,-71.31802,-69.38696,-77.25748,-77.70882,-100.4165,-78.19199,-84.62067,-85.42908,0.7640557289123535,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,6.0,0.655367231638418,0.1553672316384181
6,-75.71886,-72.57892,-77.71526,-80.56425,-77.52496,-72.8431,-91.03089,-85.09363,0.8911190032958984,0.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,6.0,0.6864406779661016,0.1864406779661017
7,-76.98151,-66.42378,-85.74265,-81.33769,-77.02784,-74.06561,-84.34973,-90.65179,1.0168910026550293,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,6.0,0.7175141242937854,0.21751412429378533
8,-78.42181,-76.10797,-80.89915,-85.80556,-83.66629,-75.48167,-77.93296,-81.70435,1.144195795059204,0.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,6.0,0.748587570621469,0.24858757062146894
9,-78.90359,-75.84274,-77.44556,-81.01647,-78.8996,-75.76404,-83.55355,-83.26659,1.270482063293457,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,6.0,0.7796610169491526,0.2796610169491526
