,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-70.62915,-63.91713,-66.61602,-68.38048,-79.56268,-77.84233,-88.26964,-78.321,0.2629573345184326,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,0.5314285714285715,0.03142857142857143
1,-73.10093,-65.36887,-72.25372,-68.14445,-78.1742,-76.54041,-80.18053,-83.32041,0.5175449848175049,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,0.5942857142857143,0.09428571428571429
2,-69.2296,-68.30984,-70.37675,-67.08855,-76.70872,-81.81034,-79.47418,-84.26153,0.7738416194915771,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,0.6571428571428571,0.15714285714285714
3,-78.75928,-63.12295,-74.53108,-67.8413,-74.7275,-78.34526,-81.71872,-85.49363,1.0272760391235352,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,0.72,0.22000000000000003
4,-68.78042,-65.5656,-75.73643,-74.56131,-74.78916,-77.91076,-78.74403,-87.04526,1.2808966636657715,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,0.7828571428571429,0.28285714285714286
5,-72.96672,-62.78322,-70.52576,-66.4627,-74.5718,-82.19498,-79.83921,-82.42355,1.5348358154296875,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,0.8457142857142858,0.34571428571428575
6,-69.38908,-65.52631,-69.98248,-67.11884,-77.74121,-78.66924,-78.47781,-88.30515,1.7872567176818848,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,0.9085714285714286,0.4085714285714286
7,-70.90398,-69.63847,-75.84927,-71.84552,-77.08074,-81.9855,-82.092,-83.29247,2.039616346359253,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,0.9714285714285715,0.4714285714285715
8,-72.33765,-63.43604,-73.24115,-69.8755,-83.48298,-78.51456,-75.64446,-76.54411,2.2987096309661865,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,1.0342857142857143,0.5342857142857144
9,-68.38388,-67.20013,-69.90617,-66.89812,-79.36991,-81.58769,-78.76574,-88.05481,2.554962635040283,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,1.0971428571428572,0.5971428571428572
10,-71.6735,-61.30238,-71.11133,-67.66248,-80.85426,-75.98972,-74.41392,-85.11531,2.811706066131592,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,1.1600000000000001,0.66
11,-69.37596,-66.72682,-70.35722,-67.11565,-80.08839,-77.27852,-78.39596,-84.13837,3.068352460861206,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,1.2228571428571429,0.7228571428571429
12,-70.85703,-63.15427,-75.25517,-72.25976,-73.16949,-79.75217,-72.70909,-86.17471,3.327477216720581,1.0,0.4,915.5,5.0,9.0,0.0,1.5,0.0,15.0,11.0,14.0,11.0,2.5,4.0,1.2857142857142858,0.7857142857142858
