Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
-59.42669,-62.99539,-87.03321,-79.13359,-63.26446,-66.97568,-76.72871,-76.2789,0.056499004,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.8,0.0
-57.99727,-60.94916,-94.06674,-78.76073,-62.98947,-67.26346,-79.7813,-75.42463,0.111455917,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.813033175,0.013033175
-56.18848,-59.44964,-86.23058,-75.48536,-63.56425,-67.7144,-75.92373,-75.18044,0.166953087,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.826066351,0.026066351
-54.75283,-58.67638,-81.21359,-72.95277,-64.74144,-67.12129,-71.82654,-75.26347,0.221362114,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.839099526,0.039099526
-53.39656,-58.16557,-78.45762,-71.6038,-64.18268,-65.69917,-68.26437,-75.39499,0.274763346,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.852132701,0.052132701
-52.35238,-57.86279,-77.71797,-70.73811,-61.85293,-63.86234,-66.79106,-73.82185,0.32730794,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.865165877,0.065165877
-51.77097,-57.40736,-77.69791,-70.58298,-60.29726,-62.7277,-66.81754,-74.12341,0.380488396,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.878199052,0.078199052
-51.65528,-57.06372,-79.66916,-70.82121,-59.52986,-62.41674,-67.62454,-75.24001,0.432576418,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.891232227,0.091232227
-51.9833,-57.06904,-83.08558,-71.65946,-59.65748,-62.89637,-71.52879,-78.38916,0.485468864,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.904265403,0.104265403
-52.76161,-57.66147,-86.50696,-72.5783,-60.93688,-64.71361,-78.5004,-83.06873,0.538249731,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.917298578,0.117298578
-53.95684,-59.08316,-85.91367,-73.81842,-63.33394,-67.43675,-76.32116,-85.62796,0.592103243,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.930331754,0.130331754
-55.42623,-60.9588,-82.15588,-74.05163,-66.05782,-69.08014,-71.08539,-79.39459,0.644876719,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.943364929,0.143364929
-56.93943,-63.58623,-80.77495,-73.75989,-65.47235,-67.29207,-69.03554,-76.33434,0.697560072,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.956398104,0.156398104
-57.79246,-65.94225,-81.0947,-74.16135,-63.06042,-65.71148,-68.51748,-74.30653,0.750231266,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.96943128,0.16943128
-57.89943,-65.67078,-83.29202,-75.47942,-61.87585,-65.4189,-69.52893,-75.15139,0.803586245,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.982464455,0.182464455
-57.81908,-64.11066,-89.66832,-77.77865,-62.17295,-66.44299,-73.26472,-75.9969,0.856143951,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,1.99549763,0.19549763
-57.88976,-62.7882,-114.57107,-80.36015,-63.87016,-68.59391,-81.86481,-78.86629,0.91036725,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.008530806,0.208530806
-58.19157,-62.1274,-89.17665,-79.67851,-66.05766,-69.07381,-77.49307,-82.43562,0.963784218,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.021563981,0.221563981
-58.61012,-62.44018,-82.81609,-77.44819,-65.73695,-66.96852,-70.11765,-79.48826,1.016744614,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.034597156,0.234597156
-58.65078,-63.37508,-81.54989,-75.73685,-63.25701,-64.92433,-66.90518,-75.99277,1.070239544,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.047630332,0.247630332
-58.18733,-64.05219,-82.96829,-75.71672,-61.61314,-64.27951,-65.86467,-73.71899,1.12206912,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.060663507,0.260663507
-57.59545,-63.99222,-85.12732,-76.45239,-61.41197,-65.10566,-66.37807,-73.22226,1.175175428,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.073696682,0.273696682
-57.39774,-63.29229,-92.79211,-79.15209,-62.77397,-67.19298,-67.67677,-75.0802,1.228307247,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.086729858,0.286729858
-57.75965,-62.57858,-93.76606,-85.07157,-66.06356,-69.66235,-70.61266,-76.97295,1.280945778,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.099763033,0.299763033
-58.63588,-62.80204,-88.70026,-90.21861,-69.40895,-68.77109,-72.03761,-81.87981,1.333393097,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.112796209,0.312796209
-60.23965,-63.63683,-84.32595,-83.91475,-66.84145,-66.04332,-69.76087,-82.71989,1.385700941,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.125829384,0.325829384
