,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-57.65769,-67.15459,-90.05395,-91.92648,-67.57001,-69.92908,-69.19437,-84.65526,0.05258464813232422,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.8,0.0
1,-60.45542,-69.4767,-93.48175,-89.27281,-68.97031,-72.5533,-71.86418,-84.10751,0.10726642608642578,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.8127906976744186,0.012790697674418604
2,-64.53118,-72.56315,-92.5407,-85.35629,-71.5267,-76.14325,-75.44849,-86.33641,0.1602029800415039,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.8255813953488373,0.02558139534883721
3,-71.87653,-77.46587,-89.05155,-85.14747,-72.91708,-77.59944,-78.60139,-90.07059,0.21216177940368652,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.8383720930232559,0.03837209302325581
4,-86.18958,-81.80944,-90.99664,-86.00482,-72.8748,-77.06386,-80.05795,-91.05565,0.26401710510253906,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.8511627906976744,0.05116279069767442
5,-80.17403,-84.48557,-89.5481,-86.80801,-72.66281,-76.6555,-79.90088,-88.14194,0.31751322746276855,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.863953488372093,0.06395348837209303
6,-74.12423,-79.45834,-89.30492,-85.20266,-74.31467,-79.19861,-79.44821,-89.06042,0.37012314796447754,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.8767441860465117,0.07674418604651162
7,-69.90163,-75.67319,-90.51405,-83.67364,-76.88735,-81.32532,-77.89526,-86.89492,0.4226498603820801,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.8895348837209303,0.08953488372093023
8,-66.34361,-73.69193,-89.87696,-81.22942,-78.58714,-78.81577,-78.07089,-85.64952,0.4753546714782715,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.9023255813953488,0.10232558139534884
9,-63.65962,-72.69827,-88.92126,-79.89825,-73.6329,-75.27498,-74.96575,-86.03275,0.5276389122009277,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.9151162790697676,0.11511627906976744
10,-62.06219,-72.81554,-89.45045,-81.86903,-70.47557,-72.18008,-74.94411,-86.63593,0.5791575908660889,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.927906976744186,0.12790697674418605
11,-61.44749,-73.51852,-90.72512,-84.11285,-68.06646,-70.75427,-77.23092,-90.01696,0.6310698986053467,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.9406976744186046,0.14069767441860465
12,-61.96541,-75.52861,-88.75317,-86.49531,-67.37479,-70.71709,-83.39038,-88.80932,0.6836254596710205,0.36,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,6.8,1.9534883720930232,0.15348837209302324
