,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-99.72743,-85.60629,-94.62137,-87.21571,-75.49642,-77.93474,-75.18796,-82.86136,0.05373263359069824,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.0,0.0
1,-97.68116,-86.15174,-94.7832,-87.00515,-74.99036,-78.2093,-75.03316,-84.78611,0.10850381851196289,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.005847953216374,0.005847953216374269
2,-95.71858,-86.09019,-91.93809,-87.09985,-74.52148,-77.64372,-75.03088,-84.00237,0.16712212562561035,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.011695906432749,0.011695906432748537
3,-96.56175,-85.99899,-92.62894,-87.12193,-74.90018,-78.11917,-75.27127,-83.18758,0.21964168548583984,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.017543859649123,0.017543859649122806
4,-97.27094,-86.38935,-93.03093,-86.93593,-75.02506,-77.7448,-75.41042,-83.16035,0.27344846725463867,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.023391812865498,0.023391812865497075
5,-96.55799,-85.43859,-92.65012,-88.21834,-74.84928,-77.69096,-74.83751,-83.26808,0.3261125087738037,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.029239766081872,0.029239766081871343
6,-97.28026,-85.09051,-93.2973,-86.41873,-75.40874,-78.05331,-75.62698,-81.65841,0.3781914710998535,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.035087719298245,0.03508771929824561
7,-97.99104,-86.39792,-94.73236,-86.54575,-75.26959,-78.02869,-75.22597,-82.92975,0.43132448196411133,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.04093567251462,0.04093567251461988
8,-97.05238,-87.29298,-93.00324,-86.51902,-74.52808,-77.95433,-75.83514,-82.97548,0.48363709449768066,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.046783625730994,0.04678362573099415
9,-96.87602,-87.02473,-95.71909,-86.80473,-75.03984,-78.38057,-75.37846,-83.2337,0.5354349613189697,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.052631578947368,0.05263157894736842
10,-100.43565,-86.79651,-93.066,-88.15027,-75.29449,-78.41125,-74.77507,-81.3218,0.5877249240875244,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.058479532163743,0.05847953216374269
11,-100.44475,-85.72267,-94.66576,-86.89823,-75.08742,-77.76695,-75.47309,-82.23803,0.6405293941497803,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.064327485380117,0.06432748538011696
12,-100.32555,-86.69335,-92.41163,-86.26876,-74.65644,-79.19623,-75.0917,-82.91348,0.693805456161499,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.070175438596491,0.07017543859649122
13,-96.88847,-86.25941,-93.41325,-86.45033,-74.8857,-77.0601,-76.03429,-82.27111,0.747673511505127,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.076023391812866,0.07602339181286549
14,-99.48438,-85.34856,-93.22119,-86.35889,-74.67011,-77.57222,-75.10833,-82.87238,0.8009843826293945,0.6,915.5,8.5,13.0,8.5,5.0,13.6,2.8,8.5,21.9,17.5,14.0,10.0,10.08187134502924,0.08187134502923976
