,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
0,-77.09935,-72.29337,-84.77179,-88.85881,-75.5367,-87.85229,-67.04265,-68.20473,0.09535384178161621,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,1.8,0.0
1,-73.27173,-71.14639,-83.43398,-93.89819,-70.21358,-87.87025,-71.11695,-70.43681,0.17734265327453613,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,1.8218905472636817,0.021890547263681594
2,-68.47475,-68.64613,-79.68134,-93.73349,-69.36241,-83.42267,-66.68819,-69.92704,0.26229333877563477,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,1.8437810945273632,0.04378109452736319
3,-66.89043,-68.18393,-77.56471,-87.68375,-72.9937,-80.86226,-63.63892,-66.75262,0.34398889541625977,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,1.8656716417910448,0.06567164179104479
4,-69.36192,-69.3819,-79.89999,-83.10775,-86.2439,-89.13777,-63.62279,-65.55453,0.4281485080718994,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,1.8875621890547265,0.08756218905472637
5,-74.26746,-70.03742,-89.93198,-84.54133,-72.2506,-86.04985,-67.48737,-66.51558,0.5103528499603271,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,1.909452736318408,0.10945273631840796
6,-69.44325,-69.29296,-83.79915,-90.80593,-68.96912,-83.45273,-75.64224,-68.93569,0.5951511859893799,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,1.9313432835820896,0.13134328358208958
7,-67.01604,-68.20454,-78.05426,-95.77959,-71.158,-84.35669,-65.2717,-69.4337,0.6791801452636719,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,1.9532338308457713,0.15323383084577116
8,-67.77478,-67.91764,-78.07743,-87.21526,-80.69311,-88.79507,-62.39556,-67.07584,0.7622804641723633,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,1.9751243781094527,0.17512437810945275
9,-68.83511,-67.73291,-81.77066,-84.59264,-72.75223,-82.4183,-64.57236,-65.93073,0.848501443862915,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,1.9970149253731344,0.19701492537313434
10,-66.19643,-66.87563,-78.99176,-91.0007,-69.73733,-81.88707,-76.09353,-66.66857,0.9334073066711426,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.018905472636816,0.21890547263681592
11,-64.49982,-66.70642,-75.30923,-89.96202,-71.11388,-81.77155,-68.17551,-69.26807,1.018064260482788,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.0407960199004975,0.24079601990049754
12,-65.65262,-67.49047,-76.48338,-84.21265,-79.85027,-88.19272,-61.42537,-71.47356,1.1000733375549316,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.062686567164179,0.26268656716417915
13,-70.10265,-67.90596,-81.74541,-82.76067,-75.69382,-85.20667,-60.47534,-69.08937,1.1861107349395752,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.084577114427861,0.2845771144278607
14,-74.59007,-68.7151,-80.17632,-84.54563,-71.02027,-81.25566,-64.11774,-66.86997,1.270303726196289,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.1064676616915423,0.3064676616915423
15,-70.78624,-71.1102,-76.12689,-95.86881,-73.31734,-83.80797,-83.79372,-66.92464,1.3556733131408691,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.1283582089552238,0.3283582089552239
16,-71.00761,-75.01272,-76.65697,-88.77831,-79.54278,-87.9126,-65.25813,-68.22445,1.4366488456726074,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.1502487562189057,0.3502487562189055
17,-76.90788,-78.84812,-82.60503,-85.82876,-74.69444,-82.74719,-61.80872,-69.10935,1.5206820964813232,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.172139303482587,0.3721393034825871
18,-86.70988,-81.14357,-82.2569,-89.13777,-72.98347,-80.48689,-63.90728,-68.49857,1.6069355010986328,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.1940298507462686,0.3940298507462687
19,-76.40328,-80.24989,-78.65458,-99.75068,-74.84432,-83.35054,-69.75574,-68.68926,1.6935431957244873,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.2159203980099504,0.4159203980099503
20,-76.99161,-79.08194,-79.44267,-93.56477,-76.58646,-86.65884,-66.09431,-68.48126,1.7745332717895508,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.237810945273632,0.43781094527363185
21,-87.67056,-79.57374,-84.34478,-88.43935,-74.13595,-83.44102,-63.41526,-68.54018,1.858672857284546,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.2597014925373133,0.45970149253731346
22,-79.00992,-78.78408,-78.69611,-97.97926,-73.64531,-82.92101,-65.56298,-68.48234,1.9446003437042236,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.2815920398009952,0.4815920398009951
23,-72.4166,-74.12536,-76.13172,-98.72843,-75.61139,-85.55118,-70.79977,-68.14604,2.0302484035491943,0.36,915.5,8.5,13.0,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14.0,7.8,2.3034825870646767,0.5034825870646766
